cluster_id,name,action,n_cells,area_km2,fit,NAV,TDL,ACC,BCV,RES,JOBS,sensitivity,protection_gap,supply_gap,pa_frac,pa_strict_frac,pa_names,mangrove_frac,tree_frac,shallow_frac,wetland_frac,relief_m,elev_max,gbif_species,gbif_threatened,riv_rp100_pop,cst_rp100_pop,coastal_pop_buffered,coastal_pop_gain,att_total,mangrove_width_m,ws_flood_pop,ws_forest_frac,tt_gateway_h,population,n_accommodation,n_food_service,n_attraction,n_beach,n_trail,n_dive_surf,n_marina_port,is_comarca,dev_feasible_share,dist_access_km,access_mode,provinces,districts,ecoregion,watershed,gov_dest,gov_share,in_gov_plan,selected_by,assets,h3_cells,priority_score,rank,infra_level,infra_label,nature_level,nature_label,n_sites,protect_ha,restore_ha
PR27,Golfo de Montijo,PROTECT,4,149.8,60.3,52.6,28.2,47.3,60.7,0.0,37.0,36.4,52.6,31.8,0.834,0.0,Golfo de Montijo,0.0216,0.123,0.785,0.0001,83.0,304.0,96,7,0,0,0,0,0.709,165,199,0.325,3.94,0,1,0,0,0,1,0,0,0,1.0,5.7,road,Veraguas,Mariato; Montijo; Soná,Isthmian-Pacific moist forests,Ríos entre el Tabasará y el San Pablo,Pacifico Veraguense - Golfo de Montijo - Santa Catalina - Mariato,0.25,1,screening,,"8666a356fffffff,8666a3547ffffff,8666a3577ffffff,8666a350fffffff",97.0,24,none,No new development,protect_restore,Protect and restore,0,11168,26
IN10,La Pintada-Natá,INVEST,4,147.4,59.5,48.6,23.6,75.8,55.4,15.9,54.8,33.2,48.6,25.0,0.106,0.0,Cerro Guacamaya,0.0,0.585,0.0,0.0,414.0,614.0,276,17,0,0,0,0,0.0,0,1801,0.522,1.27,4907,1,0,0,0,0,0,0,0,1.0,0.6,road,Coclé,La Pintada; Natá,Panamanian dry forests,Río Grande,,0.0,0,screening,Los Valles o Piñero,"8666a0337ffffff,8666a004fffffff,8666a0047ffffff,8666a006fffffff",95.8,25,develop,Develop new capacity,maintain,Maintain,1,0,0
IN11,Colon - Portobelo - Santa Isabel,INVEST,4,144.8,59.2,45.9,24.6,81.4,52.0,16.3,57.7,31.2,45.9,21.3,0.038,0.0,Isla Galeta; Área Silvestre Protegida (Caribe),0.0707,0.234,0.406,0.0032,105.0,317.0,367,44,2830,0,0,0,0.834,181,39093,0.487,0.76,7846,1,0,0,4,0,0,0,0,1.0,1.7,road,Colón,Colón; Portobelo,Isthmian-Atlantic moist forests,Ríos entre el Chagres y Mandinga,Colon - Portobelo - Santa Isabel,0.5,1,screening,Crab Beach at galeta; Playa Escondida,"8666a5c2fffffff,8666a5d5fffffff,8666a5d47ffffff,8666a5d4fffffff",95.3,26,develop,Develop new capacity,protect,Protect,2,6855,0
IN14,David - Pedregal - Alanje (San Lorenzo),INVEST,4,148.4,58.9,50.7,19.0,69.8,51.6,2.6,51.7,31.0,50.7,31.8,0.0,0.0,,0.1167,0.492,0.044,0.0007,275.0,529.0,310,32,0,0,0,0,0.73,178,174,0.582,0.78,820,0,1,0,0,0,0,1,0,1.0,1.0,road,Chiriquí,David; San Lorenzo,Isthmian-Pacific moist forests,Río Fonseca y entre Río Chiriquí y Río San Juan,David - Pedregal - Alanje,1.0,1,screening,Chorro de Chorcha; Cerro Herradura del Manglar; Cerro Barro Blanco; Cerro Gatún; Cerro Brujo; Cerro Pelado; Cerro Pelado Chiquito; Cerro Mata Caballo; Cerro de La Mina; Cerro La Ensenada; Puerto Bajo Chorcha,"8666a2537ffffff,8666a2517ffffff,8666a25a7ffffff,8666b524fffffff",94.8,27,develop,Develop new capacity,protect,Protect,4,1667,0
PR36,Punta Bruja y Dejal,PROTECT,3,109.6,67.0,60.0,81.0,81.9,58.1,0.0,56.9,34.9,60.0,0.0,0.007,0.0,Punta Bruja y Dejal,0.0038,0.078,0.875,0.0003,124.0,279.0,428,34,0,0,0,0,0.632,39,128008,0.333,0.78,7318,3,18,9,12,3,0,0,0,1.0,2.9,road,Panamá; Panamá Oeste,Arraiján; Taboga,Isthmian-Pacific moist forests,Ríos entre el Caimito y el Juan Díaz,,0.0,0,screening,Hospital Nacional Larga Estancia; Playa Chumica; Playa El Palmar; Playa Veracruz; Playa Venao,"8666a53a7ffffff,8666a5387ffffff,8666a53b7ffffff",92.9,28,light,Low-impact access only,protect,Protect,1,9590,0
MA21,Volcan Barú,MANAGE,4,147.4,55.4,70.4,77.4,57.3,73.1,31.4,65.8,65.5,31.6,0.3,0.54,0.54,La Amistad; La Amistad y Volcán Barú; Volcan Barú,0.0,0.679,0.0,0.0,1398.0,3441.0,600,65,0,0,0,0,0.0,0,46583,0.57,1.82,13094,15,6,0,0,41,0,0,0,1.0,1.0,road,Chiriquí,Boquerón; Boquete; Tierras Altas,Talamancan montane forests,Río Chico,Tierras Altas - Renacimiento,1.0,1,screening,Cráter de Volcán Barú; Cima del Volcán Barú; Mirador Beltran; CH-1549; CH-1937; CH-2253; Bambito's Rocky Mount; Cerro Bambito; Cerro El Alton; CH-El Filo; Cerro Pon la Olla; Cerro Potrero de Piedra,"8666b500fffffff,8666b5077ffffff,8666b5047ffffff,8666b5057ffffff",89.2,29,light,Low-impact access only,protect,Protect,2,6382,0
PR33,Arraiján-La Chorrera,PROTECT,3,109.5,63.7,49.1,63.5,84.3,55.1,0.0,60.4,33.1,49.1,0.0,0.0,0.0,,0.0231,0.461,0.036,0.0046,146.0,234.0,410,29,0,0,0,0,0.785,202,0,0.442,0.36,207117,3,31,2,1,0,0,0,0,1.0,0.4,road,Panamá Oeste,Arraiján; La Chorrera,Isthmian-Atlantic moist forests,Río Caimito,,0.0,0,screening,Cesarin Panadería y Dulcería; Ministerio Pacto con Dios; Playa Grande,"8666a50c7ffffff,8666a50e7ffffff,8666a50dfffffff",88.3,30,light,Low-impact access only,maintain,Maintain,1,0,0
MA20,General de División Omar Torrijos Herrera,MANAGE,5,183.7,48.7,56.9,14.1,55.7,71.7,28.3,43.3,61.7,28.7,42.8,0.468,0.468,General de División Omar Torrijos Herrera,0.0,0.939,0.0,0.0,791.0,1272.0,537,65,0,0,0,0,0.0,0,1801,0.755,2.89,0,0,0,0,0,0,0,0,0,1.0,2.6,road,Coclé,La Pintada,Talamancan montane forests,Río Coclé del Norte,,0.0,0,screening,El Calvario; La Cascada Las Yayas; Chorro Tuli,"8666a015fffffff,8666a0147ffffff,8666a016fffffff,8666a0ab7ffffff,8666a014fffffff",87.3,31,none,No new development,protect,Protect,0,17247,0
IN15,Tierras Altas - Renacimiento (Chiriquí),INVEST,3,110.6,61.0,56.3,17.1,62.5,62.0,38.3,63.3,37.2,56.3,39.2,0.0,0.0,,0.0,0.755,0.0,0.0,437.0,1504.0,559,35,0,0,0,0,0.0,0,46583,0.682,1.38,7327,0,3,0,0,1,0,0,0,1.0,0.3,road,Chiriquí,Renacimiento,Isthmian-Pacific moist forests,Río Chiriquí Viejo,Tierras Altas - Renacimiento,1.0,1,screening,Alto de Monte Lirio; CH-1082; CH-1163; CH-1225; CH-1270; Cerro El Centinela; Cerro Miraflores; Cerro Palmarito; Cerro San Antonio; Cerro Santa Clara,"8666b50afffffff,8666b508fffffff,8666b5087ffffff",84.6,32,develop,Develop new capacity,protect,Protect,2,8347,0
PR28,Kankintú-Jirondai,PROTECT,3,110.5,61.0,48.4,0.0,14.4,51.4,40.4,66.3,30.9,48.6,48.4,0.0,0.0,,0.0,0.976,0.0,0.0,1306.0,2203.0,231,7,0,0,0,0,0.0,0,40136,0.743,11.09,4079,0,0,0,0,0,0,0,1,0.33,9.8,road,Comarca Ngäbe Buglé,Jirondai; Kankintú,Talamancan montane forests,Ríos entre Changuinola y Cricamola,,0.0,0,screening,Cerro Umanindú,"8666a66dfffffff,8666a66c7ffffff,8666a2d77ffffff",84.6,33,none,No new development,protect,Protect,0,10784,0
